year,disease,alder,køn,uddannelse,arbejdsmarked,allocator,type,outcome
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Kvinde,Videregående Uddannelse,Udenfor,Psykiatrien_Skadestue,0,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,3.20786516853933
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Diabetes II_Uden Komplikationer,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Diabetes II_Uden Komplikationer,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,1.1966966966967
-2,Diabetes II_Uden Komplikationer,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Cancer_Lunge,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Cancer_Lunge,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,0.154039768436949
-2,Cancer_Lunge,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_KOL,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Ambulant,0,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Ambulant,0,0
-2,Andre Lidelser_KOL,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Indlæggelse,0,1.03645684990031
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Indlæggelse,0,1.04184981684982
-2,Andre Lidelser_KOL,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Skadestue,0,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Skadestue,0,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,1.29861818181818
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,0,0
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,0,0.178217821782178
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,0,0
-2,Psykiske Lidelser_Mild,18-49 år,Mand,Ufaglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Psykiske Lidelser_Mild,18-49 år,Mand,Ufaglært,Inaktiv,Psykiatrien_Indlæggelse,1,2.71976534296029
-2,Psykiske Lidelser_Mild,18-49 år,Mand,Ufaglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Kvinde,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Kvinde,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,1.46595932802829
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Kvinde,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Psykiske Lidelser_Mild,50-65 år,Mand,Ufaglært,Aktiv,Psykiatrien_Ambulant,1,0
